w,f
trump,10747
vote,10538
new,8422
donald,6209
cruz,5450
going,4730
president,4013
believe,3991
ted,3947
get,3890
york,3618
bernie,3487
endorses,3471
dear,3429
actually,3394
starting,3260
hillary,3217
sanders,3093
clinton,2856
like,2569
people,2332
campaign,2157
via,2116
delegates,2069
one,2060
make,2029
need,1959
gop,1803
win,1785
support,1715
delegate,1700
thank,1674
voting,1611
time,1589
see,1518
state,1502
must,1480
want,1468
know,1459
candidate,1443
right,1426
please,1421
today,1399
would,1397
election,1373
rally,1367
party,1358
voters,1336
primary,1316
poll,1277
america,1262
never,1259
back,1235
voted,1229
great,1224
supporters,1218
love,1214
tax,1211
republican,1208
day,1167
think,1160
even,1151
says,1129
polls,1125
big,1124
better,1120
take,1106
retweet,1101
still,1097
every,1097
last,1095
good,1088
tomorrow,1081
way,1075
say,1073
watch,1004
show,1000
ballot,989
lead,985
voter,972
help,940
stop,932
fox,931
dems,916
got,915
another,909
join,891
wants,888
national,880
kasich,853
always,847
money,814
john,813
much,802
change,794
stand,786
plan,780
business,778
american,771
crowd,757
many,747
presidential,731
lets,724
open,723
really,716
calls,713
lou,709
said,709
made,707
democratic,700
let,700
california,690
political,687
could,685
come,681
country,668
knows,665
media,663
real,663
lawsuit,661
votes,658
needs,647
first,639
makes,638
black,638
sure,634
wall,634
man,629
making,623
getting,623
gets,621
lies,616
keep,613
dobbs,610
call,607
remember,606
candidates,602
video,601
supporter,599
world,595
white,587
colorado,581
may,581
live,568
truth,562
read,562
conservative,559
look,559
called,558
hurt,557
ever,555
work,554
registered,549
give,548
bill,548
fight,547
latest,545
best,542
attack,539
scrap,538
lawmakers,536
feel,531
race,528
thieves,526
ready,526
anyone,524
ahead,522
states,521
enough,519
record,516
register,514
obama,511
violated,511
goes,510
run,505
americans,503
nyc,497
wins,494
shows,492
corrupt,491
general,478
dutchess,476
million,474
gun,470
tell,469
takes,468
chance,465
morning,465
lying,463
TRUE,461
april,460
front,459
proud,457
next,456
senator,456
yorkers,453
news,453
war,451
power,450
phone,450
strong,449
using,449
serious,446
democracy,441
free,433
lot,432
won,428
part,426
hours,424
break,423
women,421
choice,420
bring,417
use,415
supporting,414
since,414
end,414
protest,413
behind,412
times,411
cnn,407
heard,403
rules,401
beat,401
county,400
winning,396
anchor,396
george,395
save,394
nomination,389
democrats,388
actor,386
ask,380
street,379
hope,377
home,377
done,375
pay,372
hear,372
already,371
polling,369
emergency,368
fighting,365
long,364
victory,363
cast,363
establishment,361
guy,360
running,360
care,359
longer,359
district,359
massive,358
muslim,358
senate,357
something,357
looks,357
decal,356
full,355
debate,355
everyone,354
brooklyn,352
purge,351
nothing,351
find,350
check,349
line,348
final,346
stay,344
two,344
issues,344
major,343
forget,343
volunteer,343
bruce,342
dem,341
willis,340
sides,339
government,337
showing,337
tells,335
potus,334
rights,334
independent,333
thing,333
trying,330
republicans,329
bosses,329
washington,326
filed,324
endorse,323
paul,322
matter,321
woman,321
hey,320
left,320
name,318
yet,317
wrong,316
tom,314
turn,314
update,314
talking,309
convention,309
leading,309
saying,308
huge,308
rating,307
rnc,306
tuesday,306
highest,306
amazing,305
either,304
far,303
breaking,303
demand,303
prospect,301
indiana,301
well,301
gope,301
law,300
iraq,300
anything,299
paid,299
kids,298
years,297
system,296
wake,296
taking,296
voterless,296
also,295
start,294
bed,294
clooney,292
wear,292
yuge,291
beating,290
person,289
thanks,289
house,289
single,289
top,288
analysis,288
fmr,287
coming,287
hate,287
someone,287
speech,286
pms,285
old,283
things,282
act,282
claims,281
liar,281
family,280
talk,279
thinks,278
loves,278
jobs,277
put,277
found,276
interview,276
create,276
ppl,276
place,275
kicking,274
days,274
city,273
agree,273
year,273
went,273
health,273
gains,273
history,272
supports,272
endorsed,271
begins,271
double,271
little,270
mcenany,269
kayleigh,269
lost,269
united,268
god,267
israel,267
fundraiser,267
leader,266
healer,265
representative,264
politics,262
bad,261
ignorant,260
game,258
police,257
important,257
college,256
mean,255
destroy,254
away,254
ass,253
teamsters,253
pat,252
wait,251
unfavorability,251
speaking,249
yes,249
gave,249
high,247
throw,247
nominee,247
less,246
cannot,246
finance,246
millions,246
buchanan,245
reason,245
hard,245
disgruntled,244
lemmings,243
whiners,243
night,243
point,243
eve,242
taxes,242
pledged,242
bills,242
park,240
dupes,240
young,239
movement,239
policy,238
patriot,238
fact,237
calling,237
morons,236
