w,f
"(u'question', 373)",1
"(u'feel', 675)",1
"(u'sure', 653)",1
"(u'gun', 590)",1
"(u'could', 685)",1
"(u'media', 663)",1
"(u'enough', 519)",1
"(u'dem', 1257)",1
"(u'speak', 525)",1
"(u'decal', 365)",1
"(u'campaign', 2285)",1
"(u'actor', 387)",1
"(u'leader', 415)",1
"(u'still', 1097)",1
"(u'may', 581)",1
"(u'dutchess', 476)",1
"(u'turn', 536)",1
"(u'latest', 545)",1
"(u'fight', 1004)",1
"(u'readi', 526)",1
"(u'must', 1480)",1
"(u'democrat', 1304)",1
"(u'conserv', 630)",1
"(u'ignor', 510)",1
"(u'put', 416)",1
"(u'rememb', 626)",1
"(u'news', 453)",1
"(u'primari', 1465)",1
"(u'keep', 782)",1
"(u'beat', 720)",1
"(u'protest', 532)",1
"(u'gop', 1805)",1
"(u'race', 552)",1
"(u'start', 3698)",1
"(u'lot', 526)",1
"(u'retweet', 1138)",1
"(u'tomorrow', 1085)",1
"(u'defend', 497)",1
"(u'lawsuit', 669)",1
"(u'time', 2123)",1
"(u'yorker', 542)",1
"(u'candid', 2052)",1
"(u'follow', 432)",1
"(u'much', 802)",1
"(u'america', 1291)",1
"(u'sander', 3100)",1
"(u'guy', 464)",1
"(u'everyon', 356)",1
"(u'violat', 684)",1
"(u'politician', 351)",1
"(u'dobb', 610)",1
"(u'video', 624)",1
"(u'wall', 643)",1
"(u'colorado', 581)",1
"(u'lawmak', 545)",1
"(u'watch', 1235)",1
"(u'rate', 391)",1
"(u'fundrais', 440)",1
"(u'war', 503)",1
"(u'hope', 479)",1
"(u'behind', 412)",1
"(u'wait', 593)",1
"(u'ted', 3952)",1
"(u'wear', 480)",1
"(u'april', 461)",1
"(u'truth', 574)",1
"(u'morn', 465)",1
"(u'scrap', 540)",1
"(u'million', 720)",1
"(u'file', 456)",1
"(u'republican', 1537)",1
"(u'elect', 1961)",1
"(u'presid', 4218)",1
"(u'endors', 4332)",1
"(u'tri', 694)",1
"(u'point', 396)",1
"(u'pleas', 1422)",1
"(u'major', 501)",1
"(u'want', 2511)",1
"(u'high', 386)",1
"(u'john', 813)",1
"(u'live', 775)",1
"(u'massiv', 360)",1
"(u'read', 595)",1
"(u'parti', 1483)",1
"(u'check', 376)",1
"(u'open', 1050)",1
"(u'save', 482)",1
"(u'help', 1175)",1
"(u'record', 654)",1
"(u'plan', 973)",1
"(u'vote', 14036)",1
"(u'polit', 956)",1
"(u'stay', 516)",1
"(u'destroy', 400)",1
"(u'dear', 3432)",1
"(u'donald', 6211)",1
"(u'obama', 519)",1
"(u'win', 2676)",1
"(u'great', 1234)",1
"(u'longer', 359)",1
"(u'ask', 826)",1
"(u'corrupt', 682)",1
"(u'actual', 3450)",1
"(u'debat', 413)",1
"(u'person', 534)",1
"(u'support', 4340)",1
"(u'name', 416)",1
"(u'true', 461)",1
"(u'right', 1767)",1
"(u'reason', 373)",1
"(u'serious', 515)",1
"(u'said', 709)",1
"(u'look', 1129)",1
"(u'year', 574)",1
"(u'anyon', 524)",1
"(u'attack', 908)",1
"(u'lead', 1437)",1
"(u'anchor', 401)",1
"(u'won', 428)",1
"(u'rule', 537)",1
"(u'free', 434)",1
"(u'continu', 357)",1
"(u'american', 1274)",1
"(u'end', 525)",1
"(u'join', 1050)",1
"(u'front', 472)",1
"(u'street', 430)",1
"(u'nation', 1202)",1
"(u'district', 396)",1
"(u'general', 484)",1
"(u'thiev', 530)",1
"(u'talk', 882)",1
"(u'independ', 467)",1
"(u'job', 513)",1
"(u'know', 2165)",1
"(u'take', 1870)",1
"(u'democraci', 441)",1
"(u'better', 1125)",1
"(u'ever', 555)",1
"(u'ballot', 1085)",1
"(u'issu', 502)",1
"(u'volunt', 399)",1
"(u'new', 8422)",1
"(u'pick', 375)",1
"(u'deleg', 3777)",1
"(u'back', 1435)",1
"(u'choic', 434)",1
"(u'bill', 791)",1
"(u'kasich', 853)",1
"(u'next', 456)",1
"(u'report', 418)",1
"(u'make', 3290)",1
"(u'give', 860)",1
"(u'senat', 858)",1
"(u'updat', 350)",1
"(u'speech', 465)",1
"(u'crowd', 784)",1
"(u'alway', 847)",1
"(u'claim', 438)",1
"(u'anoth', 909)",1
"(u'hurt', 661)",1
"(u'answer', 407)",1
"(u'willi', 358)",1
"(u'rais', 551)",1
"(u'got', 916)",1
"(u'ahead', 522)",1
"(u'kid', 359)",1
"(u'cast', 383)",1
"(u'counti', 433)",1
"(u'realli', 716)",1
"(u'mani', 747)",1
"(u'mean', 450)",1
"(u'thank', 2006)",1
"(u'stand', 1082)",1
"(u'play', 396)",1
"(u'long', 364)",1
"(u'poll', 2787)",1
"(u'power', 517)",1
"(u'way', 1091)",1
"(u'let', 1431)",1
"(u'donat', 407)",1
"(u'everi', 1097)",1
"(u'cruz', 5452)",1
"(u'see', 1625)",1
"(u'best', 551)",1
"(u'say', 2510)",1
"(u'hold', 396)",1
"(u'go', 4730)",1
"(u'creat', 446)",1
"(u'govern', 388)",1
"(u'strong', 536)",1
"(u'big', 1124)",1
"(u'unit', 403)",1
"(u'stop', 1047)",1
"(u'white', 594)",1
"(u'steal', 461)",1
"(u'victori', 382)",1
"(u'law', 430)",1
"(u'thing', 615)",1
"(u'matter', 484)",1
"(u'repres', 436)",1
"(u'tax', 1464)",1
"(u'georg', 395)",1
"(u'demand', 373)",1
"(u'find', 386)",1
"(u'side', 498)",1
"(u'regist', 1066)",1
"(u'lie', 1290)",1
"(u'money', 814)",1
"(u'even', 1187)",1
"(u'believ', 4263)",1
"(u'sinc', 414)",1
"(u'show', 1929)",1
"(u'come', 1157)",1
"(u'clinton', 2922)",1
"(u'lose', 429)",1
"(u'hate', 503)",1
"(u'call', 2115)",1
"(u'chanc', 480)",1
"(u'one', 2100)",1
"(u'hous', 400)",1
"(u'last', 1102)",1
"(u'use', 1162)",1
"(u'need', 2766)",1
"(u'state', 2054)",1
"(u'break', 757)",1
"(u'polici', 348)",1
"(u'trump', 10838)",1
"(u'like', 2857)",1
"(u'get', 5134)",1
"(u'full', 355)",1
"(u'run', 901)",1
"(u'noth', 351)",1
"(u'done', 375)",1
"(u'would', 1397)",1
"(u'establish', 373)",1
"(u'day', 1441)",1
"(u'ralli', 1488)",1
"(u'black', 668)",1
"(u'hour', 503)",1
"(u'care', 634)",1
"(u'alreadi', 371)",1
"(u'california', 690)",1
"(u'good', 1105)",1
"(u'voter', 2308)",1
"(u'real', 663)",1
"(u'allow', 387)",1
"(u'count', 384)",1
"(u'line', 411)",1
"(u'never', 1259)",1
"(u'expect', 480)",1
"(u'home', 383)",1
"(u'hear', 469)",1
"(u'head', 402)",1
"(u'presidenti', 731)",1
"(u'trust', 358)",1
"(u'peopl', 2346)",1
"(u'chang', 1125)",1
"(u'nyc', 497)",1
"(u'releas', 438)",1
"(u'tell', 1019)",1
"(u'via', 2116)",1
"(u'first', 639)",1
"(u'fox', 931)",1
"(u'emerg', 419)",1
"(u'throw', 390)",1
"(u'love', 1564)",1
"(u'made', 707)",1
"(u'part', 432)",1
"(u'muslim', 412)",1
"(u'purg', 372)",1
"(u'world', 614)",1
"(u'fix', 357)",1
"(u'today', 1405)",1
"(u'nomin', 638)",1
"(u'bring', 565)",1
"(u'hillari', 3222)",1
"(u'phone', 470)",1
"(u'famili', 488)",1
"(u'cnn', 407)",1
"(u'pay', 575)",1
"(u'countri', 702)",1
"(u'forget', 376)",1
"(u'york', 3619)",1
"(u'work', 1004)",1
"(u'lou', 709)",1
"(u'berni', 3497)",1
"(u'busi', 840)",1
"(u'proud', 487)",1
"(u'think', 1555)",1
"(u'fund', 361)",1
"(u'women', 425)",1
"(u'someth', 359)",1
"(u'heard', 403)",1
"(u'close', 387)",1
"(u'goe', 510)",1
"(u'man', 631)",1
"(u'final', 475)",1
"(u'brooklyn', 353)",1
