word,freq
work,150
time,149
peopl,145
amp,144
day,144
new,140
let,137
live,132
plan,130
stand,129
support,124
everi,123
health,116
take,111
help,110
know,108
violenc,105
care,103
thank,102
say,102
candid,102
countri,100
year,97
trump,95
back,91
equal,91
win,90
hillaryfornh,90
clinton,89
want,88
first,88
watch,87
progress,86
campaign,85
iowa,85
keep,83
like,83
better,81
state,80
stop,77
million,77
billclinton,74
tonight,74
afford,73
proud,73
pay,73
caucus,72
protect,70
thing,69
elect,67
immigr,66
job,65
deserv,65
issu,64
build,63
next,63
justic,62
call,60
text,60
chang,60
togeth,60
join,59
talk,59
que,59
end,58
world,58
act,58
potus,58
flint,57
demtownhal,56
cant,55
never,54
woman,54
great,54
made,54
love,53
break,52
got,52
see,52
safe,51
