freq,word
166,nhpolit
158,hampshir
156,get
148,endors
146,state
143,candid
139,win
137,presid
136,make
135,need
134,join
131,one
129,team
129,talk
126,plan
124,poll
122,great
120,trump
111,campaign
111,nation
108,budget
107,day
106,readi
104,foxnew
103,time
100,see
95,balanc
93,show
92,take
92,clinton
89,vote
89,event
88,gop
85,say
84,work
77,come
75,good
75,lead
73,right
73,peopl
73,check
73,leader
72,best
72,help
72,defeat
72,teamjohnkasich
71,realdonaldtrump
71,secur
71,tax
70,first
70,hillari
70,hous
69,back
68,experi
67,speak
67,crowd
66,want
66,governor
66,look
66,republican
65,sign
65,know
64,leadership
64,american
64,let
63,record
62,stop
62,est
61,cnn
60,voter
60,elect
58,learn
57,done
56,isi
56,keep
56,like
55,read
55,morn
55,miss
55,big
