word,freq
sensand,149
worker,132
right,132
tax,132
drug,130
nation,127
republican,127
pay,124
end,121
chang,115
year,114
call,111
talk,111
senat,109
class,109
come,106
health,106
senatebudget,105
take,101
get,100
corpor,100
happen,98
one,98
system,98
billionair,97
want,94
care,93
unit,91
secur,90
state,89
cannot,88
social,88
amp,86
budget,86
world,86
incom,85
climat,83
vote,83
street,82
money,82
wall,82
everi,81
got,80
congress,80
poverti,80
colleg,79
war,77
read,77
say,76
trade,76
bill,76
polit,75
minimum,75
middl,74
afford,74
price,72
major,72
big,71
women,71
mani,70
msnbc,69
hour,69
new,68
economi,68
stand,68
speak,67
profit,65
cut,65
educ,64
join,60
program,60
fuel,60
fossil,59
wealth,59
govern,58
enough,58
tpp,57
back,57
cost,56
week,56
