word,freq
endors,162
new,149
live,144
conserv,140
caucusforcruz,138
foxnew,137
cruztovictori,136
one,131
win,127
day,126
say,123
donald,115
get,115
cruzintocaucus,115
crowd,109
glennbeck,108
elect,102
iacaucus,101
tune,99
peopl,95
stand,95
poll,91
need,89
time,87
stop,87
state,87
great,85
right,83
heidiscruz,83
wisconsin,81
candid,79
gop,78
america,76
back,76
speak,75
tomorrow,74
listen,73
talk,73
tax,73
make,71
take,71
fitn,69
unit,68
help,68
want,67
american,67
come,66
teamtedcruz,66
republican,66
debat,64
last,64
night,63
citi,63
see,63
show,62
secur,62
constitut,61
first,60
next,60
fight,59
call,58
patricksvitek,58
carolina,58
miss,58
stage,58
texa,57
hous,56
plan,56
everi,55
event,55
washington,54
carlyfiorina,53
nation,53
caucus,53
pack,53
south,53
countri,52
let,51
interview,50
honor,50
